key,modifiers,action,ui_control_id,gesture,notes
Space,None,Toggle run/pause,simulation.run,press,Also clears history scrub when resuming
-,None,Decrease real-time scale,runtime.real_time_index,press,Moves Simulate::real_time_index forward
=,None,Increase real-time scale,runtime.real_time_index,press,Shift+= (plus) is accepted
Right Arrow,None,Step forward when paused,simulation.run,press,Calls mj_step and UpdateProfiler/Sensor
Left Arrow,None,Step backward via history,simulation.history_scrubber,press,Decrements scrub_index and reloads history
Page Up,None,Select parent body,pert.select,press,Updates Simulate::pert.select and resets perturb if root
],None,Next fixed camera,rendering.camera_mode,press,Cycles Simulate::camera for fixed views
[,None,Previous fixed camera,rendering.camera_mode,press,Cycles Simulate::camera backward
F6,None,Cycle frame visualization,rendering.frame_mode,press,Increments mjvOption::frame modulo mjNFRAME
F7,None,Cycle label visualization,rendering.label_mode,press,Increments mjvOption::label modulo mjNLABEL
Esc,None,Return to free camera,rendering.camera_mode,press,Sets mjvCamera.type = mjCAMERA_FREE
Tab,None,Toggle left UI visibility,ui0_enable,press,Calls UiModify on ui0
Tab,Shift,Toggle right UI visibility,ui1_enable,press,Calls UiModify on ui1
Backspace,None,Reset simulation state,simulation.reset,press,Resets mjData and clears history
L,Ctrl,Reload model,simulation.reload,press,Increments Simulate::uiloadrequest
A,Ctrl,Align view,simulation.align,press,Queues AlignAndScaleView
C,Ctrl,Copy state to clipboard,simulation.copy_state,press,Shift adds full precision export
M,Ctrl,Print model,file.print_model,press,Writes model summary to disk
D,Ctrl,Print data,file.print_data,press,Writes data snapshot to disk
Q,Ctrl,Request quit,file.quit,press,Sets exitrequest = 1
P,Ctrl,Screenshot,file.screenshot,press,Sets screenshotrequest flag
F1,None,Toggle help overlay,option.help,press,Shows help_title/help_content overlay
F2,None,Toggle info overlay,option.info,press,Refreshes info_title/info_content
F3,None,Toggle profiler,option.profiler,press,Draws mjvFigure timers/sizes
F4,None,Toggle sensor plot,option.sensor,press,Draws figsensor
F5,None,Toggle fullscreen,option.fullscreen,press,Calls PlatformUIAdapter.ToggleFullscreen
F,Alt,Focus File section,file,press,mjUI section shortcut
O,Alt,Focus Option section,option,press,mjUI section shortcut
S,Alt,Focus Simulation section,simulation,press,mjUI section shortcut
W,Alt,Focus Watch section,watch,press,mjUI section shortcut
P,Alt,Focus Physics section,physics,press,mjUI section shortcut
R,Alt,Focus Rendering section,rendering,press,mjUI section shortcut
V,Alt,Focus Visualization section,visualization,press,mjUI section shortcut
G,Alt,Focus Group section,group,press,mjUI section shortcut
J,Alt,Focus Joint section,joint,press,mjUI section shortcut
C,Alt,Focus Control section,control,press,mjUI section shortcut
E,Alt,Focus Equality section,equality,press,mjUI section shortcut
Digit 0-5,None,Toggle geom visibility groups,group.geom*,press,Maps to mjvOption::geomgroup[0..5]
Digit 0-5,Shift,Toggle site visibility groups,group.site*,press,Maps to mjvOption::sitegroup[0..5]
Visualization letters,None,Toggle model element flags,rendering.model_flags,press,"H/X/J/Q/U,... per mjVISSTRING"
Rendering letters,None,Toggle OpenGL flags,rendering.opengl_flags,press,"S/W/R/L/K/G/ /,/ etc per mjRNDSTRING"
Right Click,UI,Show shortcut badges,ui.mousehelp,hold,Hold right button anywhere on mjUI
Double Click,Left,Select body/site,pert.select,double-click,Records selection and may switch to tracking camera
Double Click,Right,Center free camera,cam.lookat,double-click,Moves camera lookat to pick point
Double Click,Ctrl+Right,Switch to tracking camera,cam.type,double-click,Sets mjCAMERA_TRACKING on selected body
Scroll,None,Zoom camera,cam.zoom,scroll,Simulated via mjv_moveCamera mjMOUSE_ZOOM
Drag,Middle,Zoom camera,cam.zoom,drag,While middle button pressed
Drag,Left,Orbit view (vertical),cam.orbit,drag,MJ mouse rotate V
Drag,Shift+Left,Orbit view (horizontal),cam.orbit,drag,MJ mouse rotate H
Drag,Right,Pan view (vertical),cam.pan,drag,MJ mouse move V
Drag,Shift+Right,Pan view (horizontal),cam.pan,drag,MJ mouse move H
Drag,Ctrl+Left,Rotate selected body,perturb.rotate,drag,Activates mjPERT_ROTATE
Drag,Ctrl+Shift+Left,Rotate body (horizontal axis),perturb.rotate,drag,Shift modifies axis
Drag,Ctrl+Right,Translate selected body,perturb.translate,drag,Activates mjPERT_TRANSLATE
Drag,Ctrl+Shift+Right,Translate body (alternate axis),perturb.translate,drag,Shift adjusts axis
Drag,None,Perturb hold,perturb.active,drag,Requires selection and ctrl modifiers
UI Title,Double Click,Expand/collapse all,ui.section,double-click,Built-in mjUI title gesture
